"pagename","pageviewcount","datetime"
Яндекс,1586,2025-02-10 02:00:00.000
Mail.ru,29,2025-02-10 02:00:00.000
ВКонтакте,38,2025-02-11 02:00:00.000
Яндекс,1439,2025-02-11 02:00:00.000
Mail.ru,16,2025-02-11 02:00:00.000
ВКонтакте,63,2025-02-12 02:00:00.000
Яндекс,1580,2025-02-12 02:00:00.000
Mail.ru,20,2025-02-12 02:00:00.000
ВКонтакте,56,2025-02-13 02:00:00.000
Яндекс,1480,2025-02-13 02:00:00.000
Mail.ru,18,2025-02-13 02:00:00.000
ВКонтакте,51,2025-02-14 02:00:00.000
Яндекс,1521,2025-02-14 02:00:00.000
Mail.ru,15,2025-02-14 02:00:00.000
ВКонтакте,103,2025-02-15 02:00:00.000
Яндекс,1886,2025-02-15 02:00:00.000
Mail.ru,9,2025-02-15 02:00:00.000
ВКонтакте,148,2025-02-16 02:00:00.000
Яндекс,1979,2025-02-16 02:00:00.000
Mail.ru,16,2025-02-16 02:00:00.000
ВКонтакте,92,2025-02-17 02:00:00.000
Яндекс,2089,2025-02-17 02:00:00.000
Mail.ru,20,2025-02-17 02:00:00.000
ВКонтакте,227,2025-02-18 02:00:00.000
Яндекс,1244,2025-02-18 02:00:00.000
Mail.ru,22,2025-02-18 02:00:00.000
ВКонтакте,77,2025-02-19 02:00:00.000
Яндекс,1498,2025-02-19 02:00:00.000
Mail.ru,37,2025-02-19 02:00:00.000
ВКонтакте,67,2025-02-20 02:00:00.000
Яндекс,1548,2025-02-20 02:00:00.000
Mail.ru,34,2025-02-20 02:00:00.000
ВКонтакте,289,2025-02-21 02:00:00.000
Яндекс,1548,2025-02-21 02:00:00.000
Mail.ru,17,2025-02-21 02:00:00.000
ВКонтакте,193,2025-02-22 02:00:00.000
Яндекс,964,2025-02-22 02:00:00.000
Mail.ru,13,2025-02-22 02:00:00.000
ВКонтакте,65,2025-02-23 02:00:00.000
Яндекс,1525,2025-02-23 02:00:00.000
Mail.ru,134,2025-02-23 02:00:00.000
ВКонтакте,151,2025-02-24 02:00:00.000
Яндекс,1498,2025-02-24 02:00:00.000
Mail.ru,28,2025-02-24 02:00:00.000
ВКонтакте,60,2025-02-25 02:00:00.000
Яндекс,1347,2025-02-25 02:00:00.000
Mail.ru,12,2025-02-25 02:00:00.000
ВКонтакте,40,2025-02-26 02:00:00.000
Яндекс,1207,2025-02-26 02:00:00.000
Mail.ru,25,2025-02-26 02:00:00.000
ВКонтакте,103,2025-02-27 02:00:00.000
Яндекс,1657,2025-02-27 02:00:00.000
Mail.ru,19,2025-02-27 02:00:00.000
ВКонтакте,48,2025-02-28 02:00:00.000
